"","Group.1","population_size","parent_size","rank","mutation_variation","mating","crossover_rate","mutation_rate","score"
"262",262,38,76,1.69658517739736,0.33078652145341,12,0.647116070799529,0.482337093562819,0.11931298363788
"274",274,32,84,1.49370899247006,0.278643639106303,6,0.845173716824502,0.360489195212722,0.11716749324001
"355",355,28,92,1.37665899186395,0.352526589110494,3,0.937477807421237,0.18871105404105,0.110241564259759
"318",318,27,164,1.44849824281409,0.223115072119981,6,0.667002288624644,0.412813017144799,0.098140171278898
"250",250,10,108,1.5221003822051,0.377286716829985,15,0.807672876119614,0.0344557367498055,0.0978757089840371
"93",93,31,130,1.38641998828389,0.221524042449892,7,0.615252654440701,0.402524052886292,0.0882940530773662
"156",156,13,54,1.60368344583549,0.117963706981391,2,0.952427437156439,0.172334552044049,0.0844191624472313
"296",296,18,120,1.21488227625377,0.299587559327483,30,0.642580901458859,0.358054412412457,0.0831375688002222
"23",23,17,112,1.26323630358092,0.286275051813573,14,0.681212372612208,0.300066694268025,0.0771638118057026
"264",264,8,92,1.37846730644815,0.237198994494975,22,0.777029651496559,0.241125149885193,0.0761571600880493
"260",260,26,136,1.60428747329861,0.302485367283225,12,0.713026564568281,0.241301500471309,0.0748122186425588
"342",342,29,176,1.66829489185475,0.242553585581481,29,0.963086246047169,0.432780405390076,0.0670287849772166
"395",395,10,176,1.23821457596496,0.193617514148355,6,0.827229305636138,0.226428381633013,0.0669739420049671
"325",325,27,72,1.74746962795034,0.0754250777885318,9,0.826616925187409,0.39516091463156,0.0632621409432773
"53",53,45,102,1.7060411375016,0.393704843427986,31,0.812713692802936,0.428617069497705,0.0626484059203482
"78",78,6,88,1.28921023872681,0.274113529082388,19,0.795049719233066,0.0358752581523731,0.0623877773830127
"383",383,41,116,1.60443706694059,0.32793855573982,13,0.740593427512795,0.2501767949434,0.0563817454155263
"327",327,37,86,1.47654115799814,0.273205677606165,17,0.634629079140723,0.401653501787223,0.0548952130317329
"384",384,11,86,1.68362915217876,0.111595813091844,25,0.639440398197621,0.32382664619945,0.0527258027068062
"290",290,9,134,1.38190565630794,0.316715338174254,12,0.705932896863669,0.36848037247546,0.0526445590035601
"313",313,22,150,1.68965333160013,0.353063806518912,23,0.870862172916532,0.120116491918452,0.0517160593346204
"133",133,12,82,1.58622610350139,0.124370058253407,21,0.914238890074193,0.387127876630984,0.0494418479414865
"127",127,12,86,1.32773125553504,0.204334990121424,17,0.679158645495772,0.294718540855683,0.0492353987705199
"206",206,6,56,1.54582032063045,0.147975733317435,13,0.869500359706581,0.125108201405965,0.0487478942861406
"149",149,19,70,1.49516574097797,0.156149387080222,18,0.934551451075822,0.229511816054583,0.0458414597539885
"365",365,8,50,1.66716906046495,0.134456231724471,31,0.618148696050048,0.108507864992134,0.0450185811909404
"167",167,36,112,1.21645500012673,0.186137059237808,5,0.6329017191194,0.484642931609415,0.0430707312031702
"216",216,9,58,1.32133583100513,0.150825207587332,4,0.994688642583787,0.232887350372039,0.0391371985461272
"192",192,28,146,1.62747049774043,0.384915141388774,0,0.91049804892391,0.315515716560185,0.0385231267769876
"271",271,33,150,1.33285278724507,0.311044759117067,26,0.923779143858701,0.386355208116584,0.0380586003609114
"309",309,23,156,1.65198154337704,0.216539090033621,11,0.748424517642707,0.365708021796308,0.036223314363348
"237",237,32,160,1.3305935123004,0.244410581048578,30,0.954127105884254,0.106900332728401,0.0358186129401106
"77",77,11,138,1.35650912895799,0.263417789340019,21,0.690777865145355,0.447901145089418,0.0330835074293976
"344",344,31,78,1.2731248924043,0.243633699603379,17,0.603472347836941,0.193119333940558,0.0324627086459572
"348",348,26,56,1.55177740291692,0.239649390429258,12,0.64535371856764,0.41674257395789,0.0316766102871794
"152",152,13,98,1.61765183019452,0.322398769110441,2,0.897606868483126,0.0743393411394209,0.0316043542283184
"99",99,4,46,1.38936684373766,0.0896445545367897,4,0.7343939489685,0.241452243179083,0.0306844747095553
"155",155,58,118,1.42273516701534,0.313384318444878,22,0.939394397474825,0.341938338824548,0.0304375592879673
"331",331,28,102,1.34226810797118,0.396835502889007,3,0.882465949654579,0.122216221294366,0.0295392224734223
"323",323,17,138,1.43458634968847,0.353897356148809,23,0.775759676657617,0.201550489640795,0.0288140872887624
"396",396,57,116,1.75003501321189,0.339303941652179,8,0.743297966755927,0.269557067076676,0.0279754914843903
"247",247,22,112,1.44046594728716,0.374759587831795,8,0.944673859421164,0.298008192679845,0.0254485705258227
"362",362,23,166,1.26450608409941,0.31797409132123,7,0.846817313600332,0.426253465004265,0.0251409737875009
"41",41,45,92,1.42294132746756,0.334005496092141,9,0.910837621055543,0.171047138632275,0.0244704811342744
"120",120,39,114,1.48680466571823,0.207179523259401,29,0.992866376135498,0.247466253931634,0.0238111146902528
"292",292,28,74,1.20569305666722,0.236209828592837,12,0.80150915235281,0.193328100023791,0.0236294532464708
"7",7,47,136,1.74891031407751,0.340548557136208,22,0.96053801169619,0.214539609733038,0.0215443095949814
"261",261,37,162,1.31834002272226,0.299032190255821,10,0.8736702256836,0.30703241599258,0.0205384785167102
"185",185,60,128,1.73085244246759,0.318849240615964,20,0.637458023615181,0.425205325824209,0.0204511775279623
"354",354,43,104,1.55451644333079,0.398459609039128,3,0.744163186941296,0.145011933869682,0.020065394526805
"12",12,52,120,1.73961732848547,0.303842924814671,25,0.988212422933429,0.360998699208722,0.0199310865651018
"134",134,19,146,1.4831046693027,0.278048526961356,25,0.827669102791697,0.229029613430612,0.0182813568393653
"215",215,49,140,1.79070869400166,0.396185799315572,32,0.987602907046676,0.271740224328823,0.0165420029359242
"25",25,16,104,1.7296803412959,0.18790213689208,4,0.952414136193693,0.415146353538148,0.0165160563982744
"31",31,19,178,1.41960016381927,0.200798455718905,22,0.685543326660991,0.327486501890235,0.0163470188526717
"110",110,40,92,1.35112368967384,0.136978067457676,29,0.655042819865048,0.399907669052482,0.0161482404878176
"123",123,53,162,1.31177124716341,0.160170699283481,8,0.608965359814465,0.440307295531966,0.0155425330134896
"157",157,48,130,1.5936174442526,0.204387901164591,18,0.740477365348488,0.375534752500243,0.0148437827302047
"5",5,36,138,1.78227967740968,0.185193429514766,25,0.902313227299601,0.445944181992672,0.0142490257408387
"298",298,12,178,1.71558754183352,0.22551462687552,10,0.637794987112284,0.25675269193016,0.0140932689194401
