"","Group.1","population_size","parent_size","rank","mutation_variation","mating","crossover_rate","mutation_rate","sigmaShare","alphaShare","score"
"161",161,45,92,1.36382501958869,0.394476851541549,9,0.635548697598278,0.468623620923609,0.300765693653375,2,0.130317455466259
"85",85,28,78,1.71299021285959,0.350502567924559,7,0.872617129515856,0.277176055824384,1.48381326533854,1,0.12121935953939
"112",112,38,106,1.63334715594538,0.209064763784409,12,0.856567755248398,0.391368730226532,1.20252333860844,2,0.110340701534635
"265",265,36,82,1.67826139689423,0.361766149103642,18,0.853040875308216,0.394935929100029,0.60084804194048,1,0.0748342861916029
"271",271,27,108,1.57530625252984,0.236596719734371,22,0.92207258483395,0.457810311112553,1.4702637703158,1,0.0657812142611645
"194",194,16,172,1.7413909802679,0.298859550245106,7,0.888574460055679,0.449534888844937,1.83337975060567,2,0.0642133736887644
"19",19,17,150,1.33025362137705,0.354417390469462,21,0.952184048946947,0.288013563607819,1.69355588080361,1,0.0545712848659299
"136",136,48,138,1.60645521814004,0.332137285452336,4,0.847869456466287,0.220028312294744,1.99245782196522,2,0.0389195848434125
"16",16,33,74,1.60751894074492,0.310709124989808,17,0.936446773633361,0.280358900083229,1.50784858828411,1,0.0372586457220652
"371",371,21,106,1.68914964096621,0.348533753305674,9,0.975165379885584,0.31401851749979,1.34675045451149,2,0.0367027630417631
"211",211,16,42,1.75893799499609,0.367883262876421,12,0.960257215518504,0.44988059590105,0.457723141647875,1,0.0340701587563311
"332",332,21,172,1.76008194023743,0.0352801727131009,19,0.894914872013032,0.497906577424146,1.76408408721909,2,0.0290310891388313
"160",160,56,144,1.36956721111201,0.30905182287097,15,0.791777207609266,0.0373602560721338,1.67093311669305,2,0.0285616435823932
"246",246,49,156,1.73067881455645,0.296638511307538,8,0.760116336215287,0.243775679147802,0.053345242049545,1,0.0246341346528485
"58",58,15,98,1.35532254790887,0.385671243537217,16,0.664333389792591,0.22424891369883,1.73892285209149,1,0.0236944535884757
"372",372,31,166,1.51545922360383,0.395236022491008,18,0.939851627871394,0.46596833539661,1.77865411620587,2,0.0215316124148049
"93",93,30,130,1.65183466896415,0.382560002524406,23,0.731219003442675,0.0950165208196267,1.59814489027485,1,0.021098798676773
"113",113,57,130,1.37322918972932,0.321772216353565,20,0.811652560625225,0.493655749130994,1.74156116368249,2,0.0203870051010416
"118",118,54,118,1.78351949010976,0.373960505798459,3,0.856314102001488,0.483842243207619,0.703866451047361,1,0.0202081989302659
