"","Group.1","population_size","parent_size","rank","mutation_variation","score"
"313",313,182,284,1.10340409167111,0.0848628947278485,0.0437162255888569
"356",356,141,252,1.59631350426935,0.236416913685389,0.0435207034990892
"30",30,223,176,1.7284355929587,0.372901266324334,0.0419878563093797
"770",770,181,140,1.05520876077935,0.474066728842445,0.0389492322375123
"876",876,266,248,1.34228213061579,0.434162929304875,0.0352443829241007
"799",799,264,216,1.38793203886598,0.0940078024286777,0.0350346559653493
"196",196,31,82,1.69354621483944,0.00353816396091133,0.0339638220194264
"362",362,238,112,1.42181048146449,0.103805811027996,0.0327373058885586
"28",28,199,66,1.5612203492783,0.238329671905376,0.0326795317037916
"166",166,175,250,1.17074103304185,0.455505990190431,0.0318404172608874
"977",977,135,130,1.60424603242427,0.0324122856836766,0.0316754185992044
"748",748,257,198,1.94060771143995,0.0190544141223654,0.0293349527426971
"140",140,39,104,1.21555129718035,0.0047909040004015,0.0281314912463342
"796",796,298,168,1.01456244918518,0.317940105567686,0.0277096686043293
"32",32,245,276,1.38062250334769,0.429758103331551,0.026174084810983
"597",597,293,300,1.78278715070337,0.207330684410408,0.0254153664326761
"95",95,189,200,1.15954365278594,0.407327193650417,0.0252581590022104
"651",651,63,258,1.83331958786584,0.0121935291681439,0.0249926782065695
"45",45,168,198,1.47414154582657,0.071909039048478,0.022707158525357
"86",86,106,12,1.35389996226877,0.282216250314377,0.0219036672351878
"778",778,288,124,1.7856177596841,0.232950369594619,0.0218373752972956
"762",762,241,266,1.76573962206021,0.000132025801576674,0.0211472429851555
"649",649,282,220,1.05161386518739,0.0205441414145753,0.0206533144335778
"722",722,172,106,1.22623782046139,0.152640352491289,0.0206417575856681
"370",370,194,34,1.47866341867484,0.376020187744871,0.0206229633032443
"82",82,185,68,1.09622196224518,0.246142436983064,0.0201363019475642
"163",163,214,158,1.69910521246493,0.349317863350734,0.019383283889514
"821",821,139,236,1.06930110231042,0.322653351584449,0.0193276326661454
"339",339,162,160,1.45213340758346,0.40631700004451,0.0191455974178912
"771",771,111,86,1.3257073611021,0.199079911224544,0.018819875990621
"810",810,151,192,1.98814802104607,0.247254979680292,0.0187111611649905
"443",443,166,174,1.52221842994913,0.293573097907938,0.0184349868213679
"10",10,184,158,1.04425603384152,0.41588734369725,0.0175760180831111
"54",54,211,174,1.26849887706339,0.0987185011617839,0.017401946489068
"604",604,299,144,1.21401173062623,0.31892807839904,0.0171995030603703
"594",594,202,246,1.32657146826386,0.41511851164978,0.0169802455845049
"559",559,151,64,1.72490663803183,0.275794047745876,0.0169473179802501
"377",377,204,124,1.73699286044575,0.313564175623469,0.0167581054986615
"29",29,199,148,1.52349288784899,0.0601022879127413,0.0165243590351952
"560",560,298,242,1.30240976205096,0.191322179627605,0.0165183272732565
"106",106,253,180,1.50138605269603,0.333552472060546,0.0160313495816889
"596",596,258,182,1.39761095354334,0.406392483855598,0.0159979388035746
"422",422,263,244,1.2908113701269,0.322371458052658,0.0153277440441521
"595",595,249,192,1.52609280846082,0.0506272887578234,0.0153026727876918
"152",152,153,94,1.85320707061328,0.103614217601717,0.0145680124137976
"599",599,263,200,1.10292400931939,0.296601981041022,0.0145652087314953
"637",637,282,142,1.20956582482904,0.0726083199260756,0.0144451995142199
"957",957,201,160,1.11892173904926,0.23491147661116,0.0141917925713722
"894",894,274,56,1.9017010233365,0.125068271765485,0.0135938862507404
"536",536,280,146,1.61488775769249,0.289070849539712,0.0135245164167899
"529",529,215,202,1.36924806120805,0.15756260510534,0.0133750077802136
"282",282,150,24,1.55538486479782,0.00522972259204835,0.0133384133043073
"399",399,259,268,1.91738120466471,0.48737108707428,0.0129546599847469
"939",939,264,282,1.72820964455605,0.0626243657898158,0.0121599935219066
"231",231,102,116,1.76081325439736,0.194131404045038,0.0120677787020027
"173",173,152,206,1.11054194625467,0.140822957269847,0.0120302001405389
"73",73,140,150,1.20903917960823,0.373231662320904,0.0119457414675287
"145",145,245,300,1.40509997052141,0.130240673897788,0.0118362564344569
"496",496,93,132,1.04322724067606,0.165151202934794,0.0116784403080316
"755",755,217,68,1.83071823231876,0.310718295513652,0.0114117074051525
"353",353,130,62,1.33646052051336,0.273464043741114,0.0111734750577513
"640",640,190,288,1.1115382858552,0.342417051200755,0.010877294344458
