"","Group.1","population_size","parent_size","rank","mutation_variation","mating","crossover","score"
"111",111,99,238,1.54920616978779,0.218979241792113,29,0.0564372409135103,0.0318839998263456
"49",49,11,68,1.17525817500427,0.345177763374522,21,0.506564550334588,0.0307830058365889
"53",53,128,278,1.82578170113266,0.308527643210255,13,0.0824891205411404,0.0291589466340149
"67",67,37,134,1.37599742016755,0.233944875770248,32,0.107072674902156,0.0229756534185723
"116",116,64,234,1.95741628156975,0.0317128937458619,17,0.906588385114446,0.0216843996832395
"68",68,104,266,1.08061348553747,0.135332514648326,19,0.967067926656455,0.0214318700575715
"166",166,98,240,1.44983080704696,0.303431025706232,21,0.0670334782917053,0.0201175511666194
"48",48,11,254,1.22345064580441,0.118396485806443,30,0.578387635061517,0.0200595850534772
"88",88,56,118,1.99751794501208,0.384217780316249,0,0.0458018861245364,0.0182985109381646
"22",22,73,180,1.83253596676514,0.143165752640925,3,0.929946513148025,0.0182014819211019
"185",185,23,134,1.01244965847582,0.3202041646,22,0.131005267612636,0.01772895363058
"60",60,149,298,1.34083769703284,0.155430600047112,25,0.934906232636422,0.0170885028804787
"144",144,65,290,1.85916226403788,0.413672814960591,19,0.0388268209062517,0.0169373141998405
"102",102,31,86,1.30513127055019,0.428774924366735,24,0.677098313346505,0.0166935437785096
"136",136,147,296,1.65165368351154,0.438706694054417,26,0.554808515589684,0.0165717615556326
"162",162,65,134,1.45874081552029,0.291590180015191,23,0.0741322787944227,0.0165344471122875
"32",32,131,264,1.89985682838596,0.219440888264216,10,0.920194931328297,0.0158347113488105
"110",110,91,288,1.90931715071201,0.346534816548228,6,0.0492051134351641,0.0135550231143692
"118",118,75,266,1.26072365115397,0.148329693358392,21,0.118918797932565,0.0124870303665769
"73",73,110,300,1.27905962243676,0.365807404974476,12,0.0776375781279057,0.012447529136813
"126",126,148,300,1.85052219266072,0.412651571677998,23,0.0597061568405479,0.0112699539479348
"168",168,122,296,1.43069292767905,0.355195000767708,13,0.436024877941236,0.00982490702523569
"62",62,117,242,1.88310236623511,0.154218664974906,0,0.425284746335819,0.00911208642473558
"135",135,125,284,1.48082285188138,0.0436853668652475,31,0.0854924153536558,0.00828350773035527
"199",199,76,296,1.20883002877235,0.362539001507685,17,0.0702045918442309,0.00749721578021173
"192",192,62,154,1.12823022180237,0.187031759647653,30,0.0326445491518825,0.00717528869883432
"181",181,118,242,1.77715870272368,0.341334825963713,6,0.647030876716599,0.00717480765485718
"51",51,63,244,1.89439547504298,0.0601772639201954,32,0.659049096982926,0.00716020580627849
"64",64,110,284,1.37823214731179,0.481099254800938,8,0.619591900380328,0.00668002749142465
"18",18,29,104,1.35872161318548,0.293496064841747,15,0.530614024959505,0.00631264389059436
"128",128,56,220,1.91002910188399,0.308749867021106,30,0.490224876208231,0.00626062301624131
"20",20,127,272,1.812812338816,0.267155187088065,30,0.727300189435482,0.00612333735718515
"105",105,115,252,1.75101413647644,0.239915954065509,18,0.926529923919588,0.00612224917530714
"38",38,31,68,1.89309037243947,0.155227114446461,25,0.116258690366521,0.00600647488105445
"96",96,129,270,1.13133209198713,0.470548869343475,21,0.0493572354316711,0.00586873023049743
"87",87,81,274,1.13355789356865,0.00121560948900878,1,0.845277757151052,0.00534087286584848
"140",140,147,296,1.05254999944009,0.433633436332457,20,0.754283084301278,0.00532720530695055
"167",167,17,58,1.15696885786019,0.303873958648182,10,0.0853380956687033,0.00520820649131916
"109",109,80,162,1.39973345771432,0.0938521892530844,29,0.498743317322806,0.00489042342476782
"194",194,73,284,1.83304280694574,0.0387578267836943,23,0.948068185476586,0.00449828579691919
"55",55,42,114,1.83914774423465,0.266962782246992,3,0.581776321632788,0.00422844256390975
"12",12,137,298,1.22170298988931,0.488533050054684,0,0.340314504690468,0.00419512391499308
"25",25,61,278,1.35337293124758,0.311751209548675,9,0.777622665977105,0.00416086536922108
"31",31,18,120,1.2827357086353,0.278720421949401,0,0.113045459846035,0.00372556214024689
"47",47,123,292,1.72659539268352,0.0921950944466516,2,0.861438067397103,0.00346761696343645
"104",104,28,104,1.21695256140083,0.133374025695957,30,0.769329608185217,0.00343155882537577
"13",13,54,190,1.26267054001801,0.410433473065495,24,0.381862901849672,0.00302955371766362
"17",17,31,160,1.30833736038767,0.0778846353059635,31,0.0645587719045579,0.00298006632528679
"195",195,95,258,1.24516166886315,0.289590674103238,20,0.634643718367442,0.00284815894121034
"153",153,143,298,1.15082883485593,0.270495868753642,4,0.711878752335906,0.00258895833332898
"148",148,86,214,1.43764147325419,0.323742380132899,27,0.635415899101645,0.00256546742994777
"70",70,22,296,1.29193409206346,0.363684725249186,18,0.220073950244114,0.00249171197959246
"30",30,149,298,1.07901601470076,0.174200354143977,13,0.597462948178872,0.00248977504393186
"131",131,35,224,1.31684557814151,0.458596056094393,21,0.63339534541592,0.00244627351166044
"163",163,98,240,1.48516243696213,0.269559123902582,20,0.258103038184345,0.00242552186178764
"190",190,113,250,1.66638103220612,0.363744747941382,19,0.39781995373778,0.00229519355001812
"173",173,10,22,1.18218888319097,0.410333700827323,18,0.140633180970326,0.00228289307211873
"81",81,113,274,1.30445106560364,0.184807340730913,14,0.0142471070867032,0.0021598689440069
"78",78,22,82,1.58509750594385,0.0231913941679522,3,0.911239236127585,0.0021270378464635
"85",85,122,268,1.70667053130455,0.0581280168844387,14,0.218795368913561,0.00206427855112108
"146",146,117,238,1.02850511157885,0.47597524500452,18,0.213264965917915,0.00202753993808608
"83",83,49,274,1.12015321361832,0.298547511221841,4,0.565651306882501,0.00196881303822124
"119",119,93,238,1.67628591274843,0.387197177973576,21,0.286148214014247,0.00189867669951561
"7",7,116,256,1.60974334273487,0.378603994497098,1,0.756104531232268,0.00184702977084629
"2",2,131,262,1.25378765747882,0.239870516699739,26,0.438469170592725,0.0018384535224641
"101",101,121,244,1.93108881241642,0.152029508375563,23,0.455690819537267,0.00182732819303213
"29",29,97,216,1.78787016263232,0.226480211131275,29,0.568130199797451,0.00181115259931438
"89",89,112,274,1.95221561426297,0.21847057773266,0,0.00179747794754803,0.00178028876688864
"66",66,126,264,1.73964786180295,0.310833732713945,21,0.429234366863966,0.00177500985007722
"145",145,125,288,1.2262041287031,0.316116166301072,21,0.130302096484229,0.00169572323560049
"179",179,64,146,1.23923860164359,0.218439339543693,18,0.535126825096086,0.00158669459609458
"94",94,65,254,1.25981543352827,0.0441914486000314,25,0.472443956648931,0.00158642784244976
"120",120,68,194,1.23019555327483,0.161493018385954,28,0.374817055882886,0.00158329330201807
"28",28,135,270,1.78041021572426,0.455646797083318,27,0.614796791691333,0.00155623619397636
"175",175,98,262,1.70629224041477,0.331511265598238,32,0.676688624080271,0.00155266858776036
"50",50,122,288,1.42811307474039,0.176757241017185,10,0.0144558700267226,0.0014941837157478
"149",149,145,296,1.68413919094019,0.12441860686522,0,0.991075658937916,0.00145536606206872
"41",41,133,292,1.92627839418128,0.190526754595339,11,0.541428942466155,0.00142561313028711
"42",42,146,300,1.71645506098866,0.16901556297671,16,0.143465360626578,0.00138658451601464
"154",154,145,296,1.29884417587891,0.237158373813145,22,0.931106973905116,0.00137940156866898
"138",138,93,222,1.77578407875262,0.136368665844202,23,0.544740340206772,0.00124231431624166
"147",147,107,248,1.04056190303527,0.411208173958585,31,0.663903426611796,0.00123790549545487
"113",113,50,290,1.03189426381141,0.200143689988181,26,0.75898354430683,0.00118034164497194
"107",107,57,236,1.10830904403701,0.262322168448009,0,0.278195296647027,0.001118421775082
"155",155,91,268,1.37385792913847,0.301724673481658,15,0.584358746884391,0.00107912012723982
"1",1,61,152,1.37069797888398,0.39800124312751,2,0.0823696590960026,0.00104692032856384
"152",152,78,296,1.00376313948072,0.0330881499685347,0,0.186796210240573,0.000988051480593695
"137",137,140,286,1.86363048641942,0.292272180551663,28,0.436894100159407,0.000933906224098053
"186",186,27,178,1.58964927494526,0.18960142985452,23,0.746745665790513,0.000932385224964315
"92",92,28,126,1.08240480278619,0.254104095394723,9,0.351186419604346,0.000931716274234109
"198",198,117,238,1.3982031873893,0.00101822591386735,26,0.260414294432849,0.000911585352131056
"177",177,90,266,1.4539064085111,0.114414832787588,13,0.223857782315463,0.000907501149335515
"164",164,46,248,1.50950236502104,0.0550234076799825,22,0.882444132119417,0.000820520737029047
"180",180,125,298,1.52866408415139,0.252002145745791,2,0.473719014320523,0.000721618636885289
"114",114,92,236,1.84199722041376,0.0585863935993984,27,0.730022126110271,0.000718565552565958
"174",174,122,292,1.40071504143998,0.434603653615341,22,0.752454344648868,0.000649127176857184
"160",160,21,62,1.64124827715568,0.0335417636670172,31,0.842421606648713,0.000618105914348053
"171",171,128,294,1.28970428556204,0.0114661692641675,15,0.0594560173340142,0.000609409029455017
"98",98,142,290,1.95133887184784,0.190710149938241,24,0.364686134504154,0.000607407825021342
"93",93,95,254,1.08194933715276,0.105123911984265,9,0.497227381216362,0.000533947840059243
"182",182,90,270,1.58344174944796,0.101161677972414,32,0.297440239228308,0.000518281660671371
"122",122,114,256,1.81512143323198,0.197237916640006,28,0.279924676055089,0.000507163107590597
"37",37,93,202,1.25248823757283,0.0480941848363727,0,0.704680323135108,0.000498305948138143
"9",9,133,284,1.0827908962965,0.0924107993487269,1,0.869789756136015,0.000489809246750357
"169",169,129,292,1.90682149655186,0.0593301701592281,16,0.402204163139686,0.000476159523002068
"161",161,128,280,1.4374222161714,0.292009068652987,1,0.489589233882725,0.000466588509617672
"69",69,11,252,1.58879775530659,0.246492622187361,13,0.299837592290714,0.000459684205772291
"33",33,126,264,1.42587958369404,0.179048735531978,9,0.106230389326811,0.000428751081585066
