"","Group.1","population_size","parent_size","rank","mutation_variation","mating","crossover","score"
"84",84,83,286,1.91473594959825,0.415874395519495,20,0.405286312568933,0.010546710409572
"37",37,141,54,1.3009778924752,0.0133280934533104,21,0.430031222756952,0.0104090214707291
"109",109,105,10,1.78109678253531,0.109104756149463,30,0.738949861610308,0.00967837610767537
"165",165,142,232,1.90907075046562,0.424276381963864,21,0.841591863194481,0.00944409647301662
"64",64,78,24,1.32316901371814,0.133225476020016,0,0.666118543827906,0.00883902033499881
"4",4,23,226,1.77544809458777,0.131569984601811,4,0.121060892241076,0.00816894183932634
"130",130,122,226,1.70770385186188,0.408780801924877,19,0.0702985185198486,0.00813432349843738
"108",108,91,150,1.17478830227628,0.425083987182006,12,0.662349683232605,0.008114663935668
"31",31,73,254,1.72700531431474,0.120847089681774,18,0.303085616091266,0.00799115085052388
"160",160,94,76,1.46421297290362,0.317672169883735,20,0.458072466775775,0.00744464230769514
"68",68,89,180,1.45020315446891,0.213362402748317,9,0.936358636245131,0.00739049603726926
"119",119,12,82,1.1434926665388,0.255048132268712,30,0.511443907860667,0.00735971248665246
"146",146,18,104,1.59684293228202,0.249178734375164,14,0.451253613224253,0.00731518175264069
"72",72,126,110,1.24790110462345,0.410950131714344,21,0.259191656019539,0.00718219251655591
"53",53,92,268,1.09867999190465,0.221783485729247,15,0.0979185525793582,0.00703427214664602
"103",103,79,288,1.39706201734953,0.344156030216254,8,0.0177060859277844,0.00661385374273185
"162",162,70,162,1.68626819225028,0.396126521169208,21,0.217018631054088,0.00658487852546886
"98",98,18,136,1.69997223373502,0.418701250921004,16,0.122160189086571,0.0062991054105799
"141",141,64,90,1.62198840500787,0.257814270327799,2,0.821344641735777,0.00577578240532693
"12",12,150,118,1.86064988118596,0.182546181371436,9,0.971450774231926,0.00548435903387914
"123",123,129,228,1.83659046795219,0.256085331900977,2,0.447924024891108,0.00540074071223748
"15",15,62,172,1.48564578546211,0.346522342879325,11,0.364049149444327,0.00489309073119316
"199",199,21,278,1.74623927334324,0.423425664310344,31,0.0748905311338603,0.00483633314378122
"148",148,145,278,1.94307406246662,0.435228884220123,19,0.306028275517747,0.00477816666323188
"186",186,22,264,1.55998213752173,0.267758071189746,8,0.403016565833241,0.00472162102586364
"142",142,92,50,1.05428967578337,0.187034916016273,17,0.724815969122574,0.00462669119401484
"43",43,78,226,1.7292802024167,0.407509405631572,5,0.330817071022466,0.00458164481380151
"187",187,52,56,1.50679149944335,0.120501002995297,9,0.560750133125111,0.00453391949664491
"178",178,112,62,1.64166875742376,0.237435276503675,14,0.421857165871188,0.00430688132427471
"157",157,109,242,1.62788811558858,0.333420241833664,2,0.648583725560457,0.00420275583257613
"7",7,96,204,1.09100058744662,0.451596640748903,1,0.630747506162152,0.00415273057597055
"65",65,114,266,1.97531706700101,0.310064725577831,28,0.288516880711541,0.00414927551718713
"14",14,110,66,1.1734150426928,0.305177616188303,32,0.576735981507227,0.00404782631813558
"198",198,67,296,1.07061339146458,0.398929884540848,25,0.651781943161041,0.00393331231850021
"48",48,91,176,1.24463788350113,0.325220097554848,17,0.020958214532584,0.00391582805674207
"149",149,36,298,1.56480362592265,0.103403168381192,18,0.882942490745336,0.00351273277215533
"133",133,149,260,1.49934561527334,0.00603062438312918,6,0.63609890639782,0.00331343857672129
"3",3,15,154,1.79837830946781,0.302614197134972,9,0.757740952074528,0.00328530060569343
"126",126,119,268,1.98310943646356,0.357865478261374,9,0.715598576702178,0.00326310330398051
"189",189,123,276,1.93995774048381,0.127466986887157,28,0.157532300101593,0.00314230884142068
"107",107,84,300,1.12672359729186,0.185691978083923,13,0.215725333197042,0.00291346116065161
"49",49,77,92,1.63544290186837,0.0383266690187156,6,0.459754198789597,0.00276916201414296
"19",19,87,162,1.62405139347538,0.10603808646556,0,0.43999109393917,0.0025624502086469
"188",188,80,274,1.90894968318753,0.214508917066269,25,0.747167032910511,0.00255274877566983
"175",175,131,98,1.38591294083744,0.241599303437397,6,0.436397385550663,0.00214249107685945
"38",38,57,266,1.91804883326404,0.300889384350739,13,0.522380076814443,0.00211953471718598
"150",150,34,124,1.11301413574256,0.114432647591457,23,0.36532120546326,0.00176873965100623
"100",100,111,116,1.0887864313554,0.177102853078395,18,0.823572765570134,0.00171995116200761
"97",97,98,108,1.26839543017559,0.158752804039977,18,0.0555346575565636,0.00164791991211375
"173",173,139,292,1.61074763932265,0.405914970324375,19,0.637096322374418,0.00152728051626027
