"","Group.1","population_size","parent_size","rank","mutation_variation","mating","crossover_rate","mutation_rate","sigmaShare","alphaShare","score"
"108",108,13,178,1.25686759301461,0.0709257202222943,18,0.68364381166175,0.108610273106024,0.249164673034102,1,3.4616256484961
"78",78,18,124,1.22664237306453,0.300954629760236,8,0.89437953941524,0.0948036004556343,0.0101613379083574,1,3.40381680409068
"181",181,41,154,1.72168769119307,0.178139329329133,9,0.639094374608248,0.0569851903710514,1.04277958255261,2,3.27016145015857
"49",49,17,162,1.67044337955303,0.0942817877046764,25,0.765544252190739,0.195405468461104,1.39621772477403,1,3.19920066762704
"115",115,8,54,1.26209421590902,0.134805841837078,6,0.602546756155789,0.0662440111627802,0.827874067705125,1,2.94621024986217
"376",376,39,122,1.64806992667727,0.0563345365226269,10,0.789048763923347,0.0964176510460675,1.47073051240295,1,2.93358635901506
"80",80,10,124,1.63417916558683,0.318069077841938,11,0.799538216833025,0.141925576608628,0.488157044630498,2,2.8607202971299
"209",209,56,148,1.25944795240648,0.0211375036276877,24,0.944815956801176,0.286656419280916,1.11757949599996,1,2.83494710792439
"128",128,22,148,1.67184784552082,0.0950530066154897,13,0.621446122415364,0.0942553045460954,0.887751389294863,1,2.80986253189479
"280",280,5,168,1.64996226201765,0.290719306375831,23,0.604002308659256,0.181894889916293,0.4080506763421,2,2.80973099383785
"70",70,3,158,1.71776264500804,0.304016696289182,20,0.622581422235817,0.187492151511833,0.743935654871166,1,2.72649562629836
"369",369,14,124,1.60625382824801,0.336459731776267,12,0.663630194496363,0.0955898759420961,0.249687782023102,2,2.67796672742317
"106",106,28,120,1.6704093801789,0.0213391868397594,10,0.738102899678051,0.388662373530678,1.41096231341362,1,2.65132253786936
"359",359,11,162,1.29482572507113,0.213387657143176,14,0.794385849498212,0.0814809576841071,0.0052217966876924,2,2.64490048677527
"236",236,4,164,1.55921750287525,0.219622271042317,16,0.927568710688502,0.129652497824281,1.74651865568012,2,2.63227688370119
"8",8,42,122,1.25117604802363,0.0240128754638135,21,0.641946552507579,0.236537059419788,1.45922236237675,1,2.59780277305625
