"","Group.1","population_size","parent_size","rank","mutation_variation","mating","crossover_rate","mutation_rate","sigmaShare","alphaShare","score"
"39",39,11,38,1.72994097364135,0.00303922044113278,1.18751268438064,0.712645084876567,0.234200642677024,1.5361050949432,1,7.07663993190886
"44",44,27,226,1.35942629766651,0.0694960637949407,0.722547762561589,0.72077002665028,0.149948360398412,1.8831655071117,1,6.92526149747556
"158",158,15,234,1.37841221485287,0.109418518748134,1.05862506455742,0.718980874307454,0.192115704994649,0.297085443977267,1,6.76748165729071
"86",86,50,122,1.63082604962401,0.0220753571949899,2.31668930780143,0.784758588578552,0.0438151186099276,0.283615190070122,1,6.39441895513894
"106",106,14,142,1.6129836183507,0.0349915113300085,1.69521868368611,0.646778186038136,0.197455643094145,0.378943922463804,2,6.35934057727893
"187",187,50,112,1.67421749113128,0.00261178463697434,1.80876316479407,0.601725321915001,0.302713940502144,0.0032445527613163,1,5.94613115620089
"147",147,6,94,1.36493542939425,0.0929176678881049,0.862553333630785,0.824315603449941,0.148690701345913,1.52227390836924,1,5.54983370591652
"76",76,58,232,1.58121773237362,0.0382182161323726,2.24937888840213,0.92726929243654,0.118156947777607,1.54600101243705,2,5.30980259061946
"183",183,58,224,1.30870022890158,0.0133086976595223,0.736546819098294,0.761649469379336,0.145499798934907,1.15503374347463,2,5.24856849658693
"132",132,26,152,1.58112596101128,0.0189068000763655,2.18889707140625,0.67982790088281,0.25718926708214,0.0584274725988507,1,5.23452499562228
"38",38,60,150,1.41288987561129,0.0184745547361672,2.47712506446987,0.959565335139632,0.165407372289337,1.54708201717585,2,4.8814981590788
"160",160,53,140,1.56859832368791,0.010020160023123,0.667700045742095,0.917521917633712,0.173935739556327,1.30674458388239,2,4.87464890149229
"72",72,42,192,1.67461165543646,0.0890921300277114,0.495466551510617,0.785898300725967,0.0790965891210362,1.91955856978893,2,4.28579432010346
"51",51,9,168,1.59857889167033,0.279607532266527,2.80918642343022,0.965850416105241,0.18777222931385,1.40589170251042,1,4.07086030600829
"174",174,14,124,1.27657930660062,0.187568605225533,1.4475087847095,0.649732033535838,0.141104600625113,1.71417552605271,1,3.96067410334379
"78",78,44,228,1.73377049141563,0.0131329074501991,0.635646051261574,0.951223543286324,0.165319824242033,0.546752015594393,2,3.78586250502633
"136",136,60,180,1.57366099543869,0.0875705510377884,2.75645632320084,0.873272805381566,0.0684332591481507,1.85694745695218,1,3.70146692177904
"190",190,3,98,1.56807876024395,0.0430679084733129,1.71327761840075,0.837003739085048,0.315450909198262,1.05854368815199,2,3.41571489638927
"118",118,9,64,1.46740211290307,0.200628100894392,2.09609663905576,0.737398542184383,0.0842279123608023,0.419315987732261,1,2.93127659232275
"79",79,12,92,1.28022710680962,0.122083778679371,2.0567739168182,0.840629270486534,0.0927668218500912,1.84673519432545,1,2.88345014810942
"21",21,38,132,1.20074624014087,0.278908399492502,2.57338813086972,0.871333705447614,0.0473281169543043,0.737383645493537,1,2.87560711104706
"125",125,6,106,1.67208251408301,0.000837259832769632,1.90154301468283,0.901656273007393,0.386927648563869,1.65505834110081,1,2.85195916451675
"195",195,4,180,1.66280246651731,0.146863045077771,0.958930841647089,0.788131647836417,0.101479790173471,0.591066405177116,1,2.68717678773223
"172",172,23,140,1.73087230143137,0.0210117221809924,2.54688505805098,0.881861763913184,0.497343624359928,0.623552518431097,2,2.67027074004357
"50",50,32,218,1.54490305250511,0.0529728480614722,1.29198301490396,0.852045029681176,0.0291587758110836,0.506036120932549,1,2.16855751930183
"23",23,21,132,1.74285864662379,0.287114751338959,2.96626591519453,0.676756875310093,0.0848715867614374,1.02571824984625,1,2.07203884304487
"17",17,21,230,1.22281436207704,0.0763081629760563,2.9258348273579,0.725563959684223,0.0459295780165121,0.772557785268873,1,2.02353749386103
"140",140,30,172,1.60211515738629,0.0249435318633914,1.61220626207069,0.658998884540051,0.434909283532761,1.44215105986223,2,1.99175124552279
"88",88,47,176,1.49052808480337,0.0890180826187134,2.46519443742,0.669598955195397,0.0457749820780009,0.998315549455583,2,1.73186941268745
"113",113,17,220,1.39915417218581,0.38181260228157,2.83030772348866,0.641199392359704,0.129081624443643,1.95432928856462,2,1.58068934436792
"65",65,16,230,1.73712852993049,0.294904419127852,1.23612183937803,0.84435609113425,0.0312460265122354,1.82794188801199,2,1.36956195835444
"186",186,13,228,1.43050177786499,0.173486652132124,1.10706742666662,0.60707407835871,0.0284305731765926,1.73845326621085,1,1.27699618708476
"26",26,38,166,1.56943179722875,0.0303306613117456,1.34769062907435,0.798133528605103,0.423473709262908,0.161505477502942,1,1.19657663188174
"33",33,12,158,1.20612579993904,0.249567023571581,2.6446099828463,0.71735922973603,0.0857004724675789,1.37818699935451,2,1.13561316940708
"112",112,47,186,1.34423109088093,0.0300574771128595,1.62898832908832,0.610880887974054,0.380167655646801,1.95655458141118,2,1.12586454070272
"59",59,6,150,1.67935528750531,0.145462449174374,2.04703230690211,0.630803235433996,0.259105780394748,0.874885521363467,2,1.08476382563658
"199",199,41,184,1.26678694328293,0.0300644791685045,0.907642428064719,0.886318307369947,0.496990723535419,1.84600234683603,1,1.01926881192174
"20",20,55,126,1.57973096156493,0.0189446653239429,2.87007126258686,0.96238299747929,0.499344599200413,1.92178207915276,2,1.00439861742726
"194",194,40,180,1.57380204261281,0.260063642263412,2.69545687339269,0.763657927513123,0.0514995887642726,0.730431061703712,1,0.986111736643135
"155",155,37,88,1.79248695387505,0.144251601584256,1.32275253790431,0.996036685351282,0.043635351350531,1.17317838454619,1,0.876042241477964
"146",146,20,170,1.31617528782226,0.0540698970668018,2.80509652616456,0.658818648383021,0.398855014471337,0.320275779813528,2,0.866726379361024
"93",93,3,134,1.56412149905227,0.140524377860129,1.38048911606893,0.745790379866958,0.0237042544176802,0.27690654899925,2,0.720865978269719
"134",134,16,52,1.38562707030214,0.270933586731553,1.72805873933248,0.695812721084803,0.0427734245313331,0.567159855738282,1,0.668704975493386
"141",141,29,192,1.61333979014307,0.0971871281042695,1.34478719159961,0.825622558686882,0.32499377138447,0.542114844545722,1,0.656936490467618
"83",83,31,180,1.60842422624119,0.199463955778629,1.81153956265189,0.985961342044175,0.0383966318331659,0.418902616016567,2,0.629565845264262
"110",110,23,114,1.6911385985557,0.218379816785455,2.05900301551446,0.722354428377002,0.101118786958978,1.3963000276126,1,0.62704360777318
"180",180,5,100,1.79420283269137,0.121697136759758,0.683696813648567,0.956785026192665,0.266467706882395,0.837873832788318,1,0.591001828481551
