"","Group.1","population_size","parent_size","rank","mutation_variation","mating","crossover_rate","mutation_rate","sigmaShare","alphaShare","score"
"232",232,40,130,1.46425633449107,0.360398909822106,19,0.924322893377393,0.122581404750235,1.95834125438705,2,9.1392074541549
"365",365,19,130,1.24549946361221,0.27296158792451,25,0.983548869937658,0.294378198217601,1.71908245701343,1,8.93362021044789
"161",161,39,116,1.3118810466025,0.382131101749837,7,0.642079822905362,0.112342610955238,1.5409994283691,2,8.89766571130281
"88",88,37,118,1.55691009471193,0.27297928230837,23,0.619537770841271,0.186443895800039,1.79517042357475,1,8.7904259138124
"342",342,11,98,1.30796343027614,0.397706408333033,20,0.888579337764531,0.282814973266795,1.86125367134809,2,8.77231294926012
"218",218,49,152,1.51921483743936,0.321575751155615,21,0.9648676417768,0.197400026838295,1.00444151181728,1,8.73485302876541
"250",250,53,126,1.46050667907111,0.394063371513039,24,0.896853910665959,0.0933712389087304,0.900092257652432,2,8.72302776344123
"79",79,42,118,1.23367525516078,0.342413576878607,8,0.946412228886038,0.17863176134415,0.724112575408071,1,8.66481580269765
"141",141,46,168,1.39325716216117,0.309993923362345,13,0.819139462243766,0.22157362557482,0.202653996646404,1,8.6453309072119
"76",76,49,176,1.20404502209276,0.265833970718086,19,0.978811884578317,0.288484910619445,0.255350222811103,1,8.63131689790968
"266",266,45,108,1.23385235290043,0.270973667036742,18,0.623213644977659,0.128511594724841,0.265600983053446,2,8.59946221842565
"155",155,50,118,1.43083509807475,0.197161637619138,18,0.689054898917675,0.225534965866245,0.199374064803123,2,8.57429440298393
"169",169,31,136,1.47419047057629,0.266814817115665,23,0.723529895301908,0.343896164093167,1.08099106419832,1,8.55511477643719
"322",322,45,154,1.28887845925055,0.24508709423244,12,0.687866861466318,0.286152151180431,0.450947072356939,2,8.5394807250037
"32",32,59,150,1.73646672293544,0.175138102658093,13,0.88411845350638,0.381767423241399,0.764160218182951,1,8.52428982238294
"158",158,36,148,1.23251377064735,0.209313469100744,16,0.604312259145081,0.340695333783515,1.26799898967147,2,8.52193666250081
"374",374,34,90,1.76091482508928,0.178708029724658,18,0.622721606772393,0.345126661937684,0.43554319627583,1,8.49990019417718
"243",243,51,162,1.64301737230271,0.240641169156879,23,0.717809732351452,0.29504095192533,1.09208412515,1,8.49380919615902
"215",215,46,140,1.31633842620067,0.285845426097512,21,0.823291017580777,0.251470182905905,1.38266049511731,1,8.47059846928413
"22",22,47,144,1.3104012013413,0.370154463499784,16,0.911799985915422,0.198682028800249,1.40557047305629,2,8.44104691700653
"94",94,10,104,1.21684635942802,0.377320960815996,24,0.6538269569166,0.326248644967563,1.16647729277611,1,8.41347885070136
"100",100,14,76,1.56088251080364,0.359386204648763,24,0.660876588430256,0.279309086618014,1.77496388182044,2,8.38469186802351
"359",359,20,46,1.73175611039624,0.268268231675029,20,0.932380073703825,0.135538519127294,1.77715717814863,2,8.35810522892519
"174",174,59,166,1.25338022802025,0.208725334238261,9,0.993955860286951,0.443760859663598,0.57852121302858,2,8.33029665870425
"206",206,38,92,1.23996939989738,0.342278931010515,21,0.78871703306213,0.0926446099765599,0.191589033231139,1,8.304439633261
"15",15,47,118,1.56233411310241,0.188134192861617,19,0.812350708525628,0.4226136256475,0.634798589162529,1,8.29103457241364
