"","Group.1","population_size","parent_size","rank","mutation_variation","mating","crossover_rate","mutation_rate","sigmaShare","alphaShare","score"
"287",287,109,296,1.69036874840967,0.337611463479698,19,0.710339746717364,0.102717895060778,0.360407797154039,2,8.69502683487044
"217",217,14,100,1.30799607527442,0.226839677803218,17,0.858720209635794,0.380962531082332,0.424349588807672,1,8.6716704536716
"108",108,12,50,1.26428869231604,0.264233320020139,25,0.639978629630059,0.268927925964817,1.36078511504456,2,8.66728147397195
"16",16,51,166,1.49147672695108,0.139580044336617,17,0.756874686479568,0.495801363489591,1.34975115349516,1,8.6485205063448
"125",125,19,296,1.71193992826156,0.258709757868201,3,0.651350326370448,0.422133927233517,1.28564955433831,1,8.61142944282524
"230",230,19,150,1.54069235161878,0.248901558574289,21,0.816363518964499,0.401605811552145,1.98048267746344,2,8.60666781330712
"197",197,84,378,1.35661153513938,0.228107217699289,11,0.718191478960216,0.38719904795289,0.0251299943774939,1,8.60572751237872
"138",138,106,346,1.54472195017152,0.230123715475202,12,0.790777081623673,0.282617860590108,0.904644107446074,1,8.60057560455889
"198",198,70,192,1.34901318778284,0.372312783077359,25,0.63553333953023,0.145923652686179,1.10651736846194,2,8.57901585913769
"305",305,89,400,1.56528469542973,0.203738843742758,3,0.7624098084867,0.449468097649515,0.557238450739533,2,8.57309955064042
"68",68,57,480,1.53570182430558,0.391072167363018,6,0.840540436375886,0.33428650139831,0.415890343487263,1,8.55946615376693
"384",384,97,270,1.73373114159331,0.190475766174495,17,0.950037096999586,0.390845202025957,1.23342200275511,2,8.52225733753298
"337",337,63,296,1.46023657810874,0.358571783173829,22,0.848421917669475,0.271854632184841,1.65966403950006,2,8.50860251257019
"134",134,114,274,1.22149268514477,0.196960540022701,16,0.65864134458825,0.319226123974659,0.266073330305517,1,8.49730511768256
"139",139,76,290,1.32507754373364,0.17215052228421,19,0.893824320100248,0.475803386420012,0.723844528663903,2,8.48763484656379
"104",104,119,410,1.67980694035068,0.246607460267842,18,0.825079924985766,0.338374648010358,1.62648731004447,2,8.46420088465853
"383",383,50,358,1.22340155099519,0.31607449427247,25,0.67215867890045,0.338950402801856,1.51630049105734,1,8.46201500068387
"10",10,50,324,1.67250971398316,0.364990118704736,10,0.830873365793377,0.329826791654341,1.77355714188889,2,8.44886661662879
"370",370,28,90,1.60946225607768,0.221955514512956,14,0.662127356790006,0.32857767236419,1.23547771759331,1,8.44299363145383
"392",392,47,236,1.24655330730602,0.175444342475384,22,0.822646167874336,0.421755244256929,1.49830895382911,1,8.44085276345414
"165",165,62,250,1.23556671179831,0.316869525052607,9,0.644621996581554,0.305415756301954,0.984195470809937,1,8.43484939809925
"39",39,39,184,1.36048029446974,0.314583987928927,13,0.699355392437428,0.193000754225068,0.738594559021294,1,8.42770936880961
"252",252,72,446,1.26383612961508,0.32001169603318,25,0.836279420927167,0.228070645825937,1.74516586121172,2,8.41926304777404
"55",55,52,178,1.41055059581995,0.335696475766599,10,0.730011891014874,0.13444691861514,0.0539214042946696,1,8.41443765439783
"379",379,105,330,1.28490669569001,0.383344535063952,13,0.866581025347114,0.211791105684824,1.09048355929554,1,8.41315889059846
"190",190,29,314,1.74357968014665,0.317747516557574,7,0.988785487227142,0.348863161285408,0.0394551800563931,1,8.40945793904227
"212",212,8,386,1.39698541844264,0.361618098057807,9,0.804270648956299,0.491558359237388,0.954113069456071,1,8.40077206006204
"42",42,82,306,1.59957456481643,0.20129072573036,3,0.619260767661035,0.363394276821055,1.46487774373963,2,8.38568160793605
"366",366,53,300,1.51364042731002,0.328624594211578,11,0.927999511733651,0.34770377818495,1.01034370344132,1,8.37908501009132
"257",257,85,340,1.31466113794595,0.2359918596223,3,0.87280407268554,0.365601153229363,0.151245017070323,2,8.34104145167559
"81",81,19,272,1.42424193955958,0.309159421548247,18,0.779863350652158,0.154809028259479,0.0453597074374557,2,8.33203841058088
"200",200,57,254,1.43828351818956,0.236974535696208,8,0.89338604323566,0.434394714888185,0.533521439880133,1,8.31821266246207
"377",377,53,426,1.67091711717658,0.340476255305111,24,0.956105843745172,0.443086601328105,0.952263246756047,2,8.29856878817884
"340",340,81,328,1.37574661443941,0.303956196829677,7,0.689565213210881,0.290698078228161,1.0538967740722,2,8.27624540690936
"314",314,90,368,1.42934097284451,0.227245427574962,12,0.743077388126403,0.458851876552217,0.532920291647315,1,8.24642389965192
"106",106,68,222,1.36949162869714,0.286745403427631,23,0.713892977777869,0.330439392128028,0.511424656957388,1,8.2106341029912
"167",167,17,152,1.60548671088181,0.390612529590726,14,0.688412615656853,0.362244380172342,0.50250904308632,2,8.20644717557683
"97",97,76,374,1.48295164299197,0.348480784520507,20,0.680022112000734,0.313339384039864,1.42835790244862,1,8.200840295659
"265",265,63,234,1.31523426985368,0.371611783839762,11,0.621129663381725,0.252397382399067,0.714961267076433,1,8.19730170137617
"199",199,111,332,1.23742112112232,0.363822717312723,10,0.877744357101619,0.239337729639374,0.676662394311279,1,8.1877984946099
"176",176,107,462,1.79324845341034,0.253479600977153,20,0.826721848454326,0.439497457351536,0.649331275839359,2,8.1600744441049
"240",240,38,320,1.44867562693544,0.392124540079385,7,0.87943328442052,0.178078831871971,1.04826821107417,1,8.1457603745059
"120",120,92,444,1.75094453701749,0.389595153089613,12,0.792428956832737,0.301010970491916,0.475299545098096,1,8.11703672706332
"5",5,91,364,1.29768239879049,0.383620685432106,3,0.881505228765309,0.290846000425518,0.885950010735542,2,8.1143069262685
"91",91,61,272,1.7543968652375,0.194366034120321,16,0.705363052245229,0.324894920457155,0.566124570555985,1,8.10524903529195
"66",66,80,394,1.39195286831819,0.236982731148601,12,0.643735248688608,0.482830640627071,0.595459991600364,2,8.10337460533831
"260",260,74,480,1.6249243543949,0.373098377417773,13,0.886107699386775,0.410242835059762,0.495325759984553,2,8.09581307220188
"78",78,69,398,1.7844687437173,0.142625579144806,9,0.706070469599217,0.416125758318231,0.794166415464133,2,8.09003747451805
"214",214,56,124,1.51707180314697,0.245570530742407,18,0.808262099977583,0.0984527650289237,0.128608581144363,2,8.0532815419112
"323",323,60,352,1.63879145504907,0.340620090067387,18,0.63338974379003,0.420391011866741,0.966933163348585,2,8.04435179253208
"175",175,92,272,1.37526339646429,0.321766165737063,24,0.680982499849051,0.280495709273964,0.513527686707675,1,8.03346056552563
"299",299,28,218,1.78387021464296,0.333355037402362,22,0.692191232554615,0.274761018459685,0.72425629477948,2,8.02559657911162
"215",215,84,196,1.54156716973521,0.344069668091834,15,0.788842186611146,0.162803421495482,1.5454543675296,1,8.01470343216501
"182",182,111,472,1.42886745091528,0.353546617180109,19,0.89260606104508,0.341724014258943,0.536338042933494,1,8.01182319778482
"229",229,101,416,1.33158909464255,0.349875870067626,19,0.926059447787702,0.377525606774725,0.755464501678944,2,7.99459936755092
"191",191,89,448,1.56712883189321,0.208457605633885,16,0.863031910452992,0.25344377849251,0.432040170766413,1,7.98072792537556
"37",37,119,442,1.74948782231659,0.184076804947108,14,0.932487855199724,0.227788620395586,0.252762815915048,2,7.97395534752236
"394",394,81,246,1.56108723529615,0.345995078142732,12,0.845686520077288,0.305104935425334,0.611982632894069,2,7.95943778090044
"322",322,108,438,1.51277283313684,0.285871395096183,23,0.746405123919249,0.2320672449423,0.138247298076749,1,7.94734669832737
"218",218,59,446,1.4067657073494,0.361652492266148,6,0.817301930300891,0.465835134033114,0.254608343821019,2,7.92617066195065
"368",368,56,442,1.75635913624428,0.306297457776964,14,0.964403463993222,0.0756750908913091,0.0799680608324707,2,7.91979894654406
"297",297,69,308,1.22507466394454,0.19449929529801,23,0.635095835663378,0.332879959489219,0.21495605353266,2,7.89851267547143
"38",38,71,274,1.46636431314982,0.333285717479885,12,0.801813089940697,0.335554239922203,0.628805116284639,2,7.88032530410605
"102",102,71,342,1.38790117213503,0.348513452988118,15,0.826131265051663,0.143999442923814,1.51632707100362,1,7.86882846380469
"358",358,34,90,1.54933990258723,0.240305108483881,3,0.766701791714877,0.355668657342903,1.3755310010165,2,7.86809631988294
"49",49,117,324,1.21180152506568,0.293362891115248,23,0.988495019730181,0.431304475641809,1.04560245387256,1,7.86408611738128
"271",271,25,152,1.32699983012862,0.291922546830028,7,0.704632695671171,0.484357163775712,0.929352961014956,1,7.85176439083399
"313",313,78,440,1.60040917550214,0.199496697075665,12,0.876791605725884,0.346939901588485,1.70122848730534,2,7.83796847293858
"32",32,89,346,1.54752616519108,0.158336067944765,13,0.681771832611412,0.420114209176973,0.48528412450105,1,7.83097251606893
"382",382,61,138,1.23478110660799,0.27469355231151,16,0.971443377994001,0.41750484216027,0.918545122724026,2,7.80583380013012
"269",269,27,78,1.79914767961018,0.395975746680051,6,0.874078228045255,0.276854924857616,1.1834562481381,2,7.77587908906483
"280",280,80,184,1.69370131152682,0.286335394158959,9,0.826403912715614,0.27035664266441,0.0877522765658796,1,7.76121226861732
"121",121,37,238,1.79299956425093,0.173374024778605,11,0.634234633296728,0.393575596623123,1.04284863127396,2,7.74952437091702
"124",124,116,358,1.2535929643549,0.341627669800073,9,0.852710229903459,0.409015650860965,0.805624297820032,2,7.73814622807738
"126",126,62,312,1.74452699683607,0.392917110491544,3,0.952216000109911,0.430339426035061,1.73584097111598,1,7.69868393275447
"61",61,39,290,1.79398599690758,0.340670856647193,25,0.646797144040465,0.492496301187202,1.98810855578631,2,7.64623032503357
"76",76,37,400,1.52579815490171,0.284604771994054,5,0.976746054831892,0.283524359809235,0.631953058764338,1,7.58862903754035
"100",100,49,170,1.43995335353538,0.281898232083768,4,0.926269215438515,0.491300466936082,0.910342845134437,2,7.58613936233035
"7",7,89,360,1.62078247102909,0.237030426133424,3,0.843075795564801,0.21362213161774,1.4424549289979,1,7.58514570880626
"307",307,66,450,1.4916062864475,0.399877208098769,14,0.770147923193872,0.445151487016119,0.953074207995087,2,7.56840005610597
"391",391,57,448,1.66866990532726,0.333045841567218,22,0.758401809073985,0.154867120785639,0.100740170571953,1,7.56730111147631
"204",204,109,440,1.20620609493926,0.167609641887248,5,0.875956011191011,0.490210505202413,0.104677020106465,1,7.55677753300756
"247",247,36,120,1.76057384856977,0.28098418591544,10,0.755767876468599,0.480157268117182,0.00472312374040484,2,7.54776476933204
"40",40,110,232,1.52409663079306,0.300140523631126,13,0.988778917491436,0.190945734153502,1.27349139936268,2,7.47215495949545
"346",346,67,442,1.7289443958085,0.16791191753,5,0.891024564765394,0.307661153143272,1.12584159336984,2,7.46720859914295
"48",48,68,444,1.60383627684787,0.378388121724129,21,0.668494834192097,0.48230941966176,0.999128040857613,1,7.46486870392361
"300",300,55,128,1.76178255435079,0.349635237641633,4,0.661680432315916,0.227812361554243,1.74296593200415,1,7.45862117973381
"12",12,67,152,1.31838379721157,0.398645013477653,13,0.688542515318841,0.174693289445713,0.499588625971228,2,7.41434859156304
"118",118,104,274,1.23730821381323,0.297990572173148,23,0.715078905783594,0.333032581256703,0.0735533074475825,2,7.4023472430684
"308",308,72,288,1.47659221887589,0.384475954715163,18,0.74690828723833,0.436052778386511,0.736774038989097,1,7.37326161377897
"365",365,68,352,1.68959141867235,0.154683707095683,20,0.874785747844726,0.403742858325131,0.951166280545294,2,7.35163020177144
"385",385,120,332,1.57145850844681,0.295061681047082,12,0.632072792109102,0.432701065205038,1.45419499883428,2,7.34494908357888
"73",73,116,374,1.35668590762652,0.350239314790815,22,0.903562117367983,0.480129646137357,0.936899471096694,2,7.32309203318019
"275",275,82,202,1.39015619927086,0.331698617618531,24,0.635671572480351,0.324052963056602,1.85231978120282,2,7.31082756332143
"123",123,101,294,1.51285233590752,0.304020750895143,12,0.846457184106111,0.445266059949063,0.188092692755163,1,7.30484437572604
"1",1,112,382,1.31051473715343,0.361069669760764,16,0.683969965204597,0.435286935302429,1.087127847597,1,7.28099499937467
"374",374,101,312,1.62249183543026,0.319999195076525,3,0.921079138573259,0.492435950320214,1.55294562503695,1,7.23552633002585
"183",183,21,76,1.23297459720634,0.377568927966058,8,0.982632278371602,0.449778042384423,1.37810971820727,1,7.20695720560798
"79",79,7,166,1.40401102504693,0.186475928500295,8,0.887438347935677,0.478250810410827,1.03654048219323,2,7.17347855492687
"369",369,8,72,1.7917271215003,0.311437312327325,7,0.616768943984061,0.283152215532027,1.48665959900245,1,7.1421621354958
"236",236,81,344,1.39310229867697,0.378458814322948,11,0.635126437153667,0.43711015174631,0.436964167747647,2,7.13372284457006
"296",296,28,160,1.36085019232705,0.283286540023983,7,0.797250108700246,0.203745218110271,1.96661112969741,2,7.08389454524343
"2",2,22,112,1.71955226655118,0.256331893149763,3,0.822390660643578,0.321509268716909,0.0115711679682136,1,7.07012342285973
"317",317,50,344,1.47624899139628,0.374175040610135,25,0.967712614778429,0.14500063250307,0.433297670911998,2,7.04900668864684
"342",342,17,112,1.5364846335724,0.26282807290554,5,0.766715803090483,0.369609307032079,0.419964639469981,1,7.02592292385096
"101",101,36,136,1.40723168193363,0.396785558853298,17,0.821005234867334,0.442926835967228,1.60074521414936,1,6.96513364363161
"222",222,80,214,1.63977876501158,0.326058632880449,9,0.763348619733006,0.48598644300364,1.66615943191573,2,6.91044175270238
"186",186,20,260,1.76668010121211,0.293448603991419,9,0.606211925949901,0.435199275729246,1.94576534768566,1,6.87486425077657
"47",47,56,196,1.79037469499744,0.399332998599857,13,0.662130327615887,0.401762175722979,0.915815097279847,2,6.77319073354912
"336",336,43,100,1.73753190538846,0.347524241916835,23,0.749591069668531,0.309729133732617,1.44245829386637,2,6.73431672722621
"117",117,103,214,1.62344653755426,0.185831633303314,3,0.62944674436003,0.400860788649879,0.306219643913209,2,6.7098935247446
"82",82,17,440,1.76518240948208,0.279199520591646,4,0.780872883368284,0.465709332260303,1.52547821309417,2,6.5943042094123
"286",286,45,312,1.73096700995229,0.165917986351997,13,0.908313598111272,0.47053540032357,1.20523467799649,2,6.55043316131879
